1 4826.500000
2 10162.300000
3 9685.533333
4 9453.925000
5 7918.020000
6 4650.283333
7 5747.942857
8 5225.175000
9 5485.211111
10 7275.740000
11 6975.963636
12 7711.825000
13 7011.069231
14 6341.771429
15 7244.646667
16 8436.187500
17 8273.564706
18 10731.950000
19 12129.752632
20 15619.220000
21 13276.252381
22 13342.950000
23 12429.173913
24 14193.604167
25 12898.704000
26 16222.646154
27 18212.814815
28 14515.232143
29 15161.244828
30 13903.416667
31 13847.222581
32 14153.250000
33 13965.506061
34 14587.944118
35 14488.894286
36 14801.700000
37 13429.010811
38 15013.118421
39 12768.376923
40 15390.800000
